                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1652,                 3.3432,                 1.5932,                 0.0047,                0.97005,                0.13973,                0.07304,                0.90997,                 3.7149,                 1.5422,              9.999e-05,              9.999e-05,              9.999e-05
                      2,                0.95053,                 2.9991,                 1.4735,                0.00709,                0.96339,                0.34707,                0.21608,                0.90893,                 3.6388,                 1.5141,             0.00020691,             0.00020691,             0.00020691
                      3,                0.93886,                 2.5364,                 1.4341,                 0.0104,                0.97522,                0.41176,                0.26893,                0.93442,                 3.3769,                 1.5331,             0.00030943,             0.00030943,             0.00030943
                      4,                0.95014,                 2.0635,                 1.4159,                0.78418,                  0.114,                0.39026,                0.24115,                 1.4043,                 3.1963,                 2.0142,             0.00040755,             0.00040755,             0.00040755
                      5,                0.93002,                 1.8214,                 1.3731,                0.77552,                0.43149,                0.64382,                0.40087,                   1.19,                   2.73,                 1.7738,             0.00050127,             0.00050127,             0.00050127
                      6,                0.96019,                 1.6537,                 1.4095,                0.64578,                0.39902,                0.57541,                0.34254,                 1.2242,                 2.8039,                 1.8421,              0.0005906,              0.0005906,              0.0005906
                      7,                0.95617,                 1.5532,                 1.3784,                0.48735,                0.53715,                0.51627,                0.21006,                 1.8126,                   2.96,                 2.2534,             0.00067552,             0.00067552,             0.00067552
                      8,                0.99746,                 1.6216,                 1.4304,                0.67584,                0.63664,                0.65513,                0.44682,                 1.1412,                 2.4249,                 1.7555,             0.00075604,             0.00075604,             0.00075604
                      9,                 1.0263,                 1.5331,                 1.4314,                0.63392,                0.67495,                0.69151,                0.45998,                 1.1564,                 2.1051,                 1.8605,             0.00083217,             0.00083217,             0.00083217
                     10,                 1.0284,                 1.6047,                 1.4576,                0.73186,                0.64164,                0.70799,                0.45777,                 1.1922,                 1.9978,                 1.9648,             0.00090389,             0.00090389,             0.00090389
                     11,                 1.0154,                 1.5805,                 1.4405,                0.75349,                0.74208,                 0.7989,                0.48764,                 1.1679,                 1.9982,                 1.8449,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.0125,                 1.4695,                 1.4105,                0.71955,                0.68029,                0.74358,                0.51308,                 1.0276,                  1.598,                 1.6465,             0.00089102,             0.00089102,             0.00089102
                     13,                 0.9833,                 1.3883,                 1.3696,                0.78588,                0.68389,                0.75906,                0.49565,                 1.1274,                 1.5633,                 1.8181,             0.00086902,             0.00086902,             0.00086902
                     14,                0.93145,                 1.4567,                  1.367,                0.73278,                0.54356,                0.69016,                0.39807,                 1.2991,                 2.4533,                 2.0273,             0.00084703,             0.00084703,             0.00084703
                     15,                 0.9358,                 1.4488,                 1.3715,                0.73379,                0.52151,                0.65619,                0.36905,                 1.3232,                  2.572,                 2.2533,             0.00082503,             0.00082503,             0.00082503
                     16,                0.94425,                 1.4171,                 1.3642,                0.76571,                0.71987,                0.77847,                0.46617,                 1.1815,                 1.6959,                 1.8397,             0.00080303,             0.00080303,             0.00080303
                     17,                0.90123,                 1.3683,                 1.3285,                0.78809,                0.68393,                0.78351,                0.49649,                 1.1606,                  1.661,                  1.758,             0.00078103,             0.00078103,             0.00078103
                     18,                0.94699,                 1.2507,                 1.3776,                0.74383,                 0.7271,                0.77228,                0.53096,                 1.0356,                 1.5649,                 1.6653,             0.00075904,             0.00075904,             0.00075904
                     19,                0.89456,                 1.2922,                 1.3118,                0.80774,                0.79384,                0.82355,                0.55561,                0.98791,                 1.4857,                 1.5738,             0.00073704,             0.00073704,             0.00073704
                     20,                0.93373,                 1.2906,                 1.3743,                0.87949,                 0.7876,                0.86316,                0.61226,                0.92329,                 1.1957,                 1.4676,             0.00071504,             0.00071504,             0.00071504
                     21,                0.90365,                 1.2168,                 1.3277,                0.79561,                0.78145,                0.85462,                0.64416,                0.85461,                 1.4342,                 1.4249,             0.00069304,             0.00069304,             0.00069304
                     22,                0.87193,                  1.198,                 1.3379,                0.74551,                0.70941,                0.79303,                0.56943,                 1.0558,                 1.8731,                 1.7239,             0.00067104,             0.00067104,             0.00067104
                     23,                0.85732,                 1.1867,                 1.3241,                0.83707,                 0.7417,                0.83701,                0.58376,                 1.0951,                 1.4181,                 1.7839,             0.00064905,             0.00064905,             0.00064905
                     24,                0.87246,                 1.1979,                 1.3532,                0.84138,                0.76915,                0.84373,                0.60969,                0.98814,                  1.285,                 1.5907,             0.00062705,             0.00062705,             0.00062705
                     25,                0.81227,                 1.0997,                 1.2934,                0.83665,                0.79325,                0.87072,                0.62511,                0.94912,                 1.3238,                 1.4847,             0.00060505,             0.00060505,             0.00060505
                     26,                0.87482,                 1.2148,                 1.3643,                0.78157,                0.77492,                0.84476,                0.60575,                0.92572,                 1.5957,                 1.4712,             0.00058305,             0.00058305,             0.00058305
                     27,                 0.7979,                 1.0679,                 1.2456,                0.77839,                0.75442,                0.80897,                0.59521,                 0.9186,                 1.6281,                 1.4865,             0.00056105,             0.00056105,             0.00056105
                     28,                0.81417,                 1.0627,                 1.2544,                0.86703,                 0.8267,                0.90499,                0.66182,                0.90101,                 1.1596,                  1.466,             0.00053906,             0.00053906,             0.00053906
                     29,                0.79171,                 1.0756,                 1.2854,                0.89863,                0.87797,                 0.9344,                 0.7321,                0.77493,                 1.0148,                 1.2981,             0.00051706,             0.00051706,             0.00051706
                     30,                 0.7783,                 1.0278,                 1.2396,                0.95443,                0.81878,                0.94385,                0.73492,                 0.7939,                 1.0128,                 1.2993,             0.00049506,             0.00049506,             0.00049506
                     31,                0.77438,                 1.0384,                 1.2244,                0.91713,                0.87538,                0.94344,                 0.7454,                0.76425,                0.96303,                 1.2728,             0.00047306,             0.00047306,             0.00047306
                     32,                0.75466,                 1.0499,                 1.2258,                 0.9537,                 0.8868,                 0.9455,                0.76082,                0.74831,                0.92543,                 1.2744,             0.00045107,             0.00045107,             0.00045107
                     33,                0.75226,                0.99016,                 1.2194,                0.94893,                0.87764,                0.94934,                 0.7664,                0.71767,                 0.8886,                 1.2483,             0.00042907,             0.00042907,             0.00042907
                     34,                0.72907,                0.94769,                 1.2264,                0.92213,                0.94684,                0.95369,                0.78684,                0.69412,                0.87931,                 1.2238,             0.00040707,             0.00040707,             0.00040707
                     35,                0.73548,                0.98751,                 1.2616,                 0.9357,                0.93816,                0.96026,                0.78778,                0.69892,                  0.855,                 1.2249,             0.00038507,             0.00038507,             0.00038507
                     36,                0.72745,                 1.0098,                 1.2264,                0.93148,                0.92206,                0.94945,                0.76951,                0.73258,                0.88345,                 1.2837,             0.00036307,             0.00036307,             0.00036307
                     37,                0.69773,                 0.9283,                 1.1777,                0.92501,                0.92175,                0.95132,                0.76661,                 0.7138,                 0.8766,                 1.2502,             0.00034108,             0.00034108,             0.00034108
                     38,                0.65458,                0.84269,                 1.1697,                0.97005,                0.90555,                0.96672,                0.77768,                0.68279,                0.81727,                 1.2098,             0.00031908,             0.00031908,             0.00031908
                     39,                0.70835,                0.88925,                 1.1842,                0.96964,                0.92287,                0.97281,                0.77873,                0.68474,                0.78918,                 1.1897,             0.00029708,             0.00029708,             0.00029708
                     40,                0.70149,                0.87468,                 1.1835,                0.96103,                0.94613,                0.97182,                0.81384,                0.61124,                0.72785,                 1.1259,             0.00027508,             0.00027508,             0.00027508
                     41,                0.72591,                 1.4277,                 1.2777,                  0.954,                0.93744,                0.97064,                0.82199,                0.58998,                 0.7277,                 1.1042,             0.00025309,             0.00025309,             0.00025309
                     42,                0.68809,                 1.2936,                 1.2831,                0.94962,                 0.9445,                0.96784,                0.80317,                0.63879,                0.81686,                 1.1439,             0.00023109,             0.00023109,             0.00023109
                     43,                0.59772,                 1.1896,                 1.2309,                0.95618,                0.94302,                 0.9668,                0.79458,                0.67823,                0.86359,                 1.1885,             0.00020909,             0.00020909,             0.00020909
                     44,                0.67168,                 1.1175,                 1.2735,                0.96725,                0.95636,                0.96899,                0.80674,                0.63828,                0.77809,                 1.1539,             0.00018709,             0.00018709,             0.00018709
                     45,                0.61612,                  1.074,                 1.2284,                0.95417,                0.95461,                0.97094,                0.82717,                0.61001,                0.74584,                 1.1263,             0.00016509,             0.00016509,             0.00016509
                     46,                 0.5787,                 1.0068,                 1.2007,                0.96649,                0.95624,                0.97385,                0.84104,                0.58938,                0.73809,                 1.1004,              0.0001431,              0.0001431,              0.0001431
                     47,                0.59456,                 1.0546,                 1.1949,                0.95934,                0.95774,                0.97663,                0.84618,                 0.5675,                0.73792,                 1.0755,              0.0001211,              0.0001211,              0.0001211
                     48,                 0.5734,                 1.0005,                 1.1582,                0.95985,                0.96547,                0.98077,                0.85922,                 0.5529,                0.72492,                 1.0558,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.53254,                0.93351,                 1.1159,                0.96299,                0.96864,                0.98229,                0.86658,                0.53851,                0.70696,                 1.0444,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.51886,                0.93514,                 1.1207,                0.96798,                0.96871,                0.98352,                 0.8757,                0.51453,                0.68379,                 1.0292,             5.5106e-05,             5.5106e-05,             5.5106e-05
