                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1605,                 3.5527,                 1.5878,                0.01017,                0.88161,                0.16195,                0.09522,                  1.413,                 3.5795,                 1.8528,             0.00014161,             0.00014161,             0.00014161
                      2,                 1.0657,                  3.147,                 1.4816,                 0.0101,                0.94775,                0.24647,                0.15433,                 1.1524,                 3.2856,                 1.6501,             0.00028866,             0.00028866,             0.00028866
                      3,                 1.0597,                 2.5902,                 1.4791,                0.77933,                 0.1288,                0.41135,                0.24649,                 1.2654,                 2.7821,                 1.7592,             0.00043275,             0.00043275,             0.00043275
                      4,                 1.1785,                 2.3027,                 1.5796,                0.45545,                0.45234,                0.46665,                0.29283,                 1.2594,                 2.2075,                 1.8115,             0.00057386,             0.00057386,             0.00057386
                      5,                 1.1186,                 2.0745,                  1.527,                0.49338,                0.49105,                0.51945,                0.29628,                 1.5796,                 2.2943,                 2.4448,             0.00071201,             0.00071201,             0.00071201
                      6,                 1.1398,                 1.9811,                  1.529,                0.56734,                 0.6203,                0.60864,                0.38786,                 1.1833,                 3.4882,                 1.8113,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.1093,                 1.9236,                 1.5025,                0.49686,                 0.5725,                0.54306,                0.31776,                  1.271,                 2.4462,                 1.8681,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.1081,                 1.8966,                 1.4897,                0.54471,                0.65582,                0.60098,                0.34904,                 1.3466,                 2.5757,                 2.0194,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.0894,                 1.8077,                 1.4799,                0.57631,                0.66615,                0.65161,                0.40174,                   1.19,                 1.8324,                 1.7727,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.0984,                 1.7459,                 1.4934,                0.82033,                 0.5488,                0.68112,                0.42821,                 1.1907,                 1.8435,                 1.7167,             0.00075878,             0.00075878,             0.00075878
                     11,                   1.11,                 1.7212,                 1.4944,                0.57871,                0.63015,                0.63791,                0.38667,                 1.2793,                 1.8017,                 2.0114,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.0899,                 1.6834,                 1.4499,                0.62963,                0.67331,                0.71559,                0.45141,                 1.1673,                 1.7729,                   1.72,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.0746,                 1.6083,                 1.4537,                0.71861,                0.69724,                0.71355,                0.46449,                 1.1987,                 1.6124,                 1.7546,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.0563,                 1.5714,                 1.4565,                0.71438,                0.69043,                0.72877,                0.47781,                 1.1442,                 1.6549,                 1.7027,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.0495,                 1.5527,                 1.4419,                0.66286,                0.71784,                0.71834,                0.44197,                 1.2336,                 1.5998,                 1.7263,             0.00071755,             0.00071755,             0.00071755
                     16,                   1.02,                 1.5256,                 1.4055,                0.71452,                0.71575,                0.75172,                 0.5104,                 1.1267,                 1.4335,                 1.6313,              0.0007093,              0.0007093,              0.0007093
